º¸½º¸®Á¨	155	2000629	1	2505194	8600.000000	9600.000000	0
º¸½º¸®Á¨	237	2000427	1	436643	8400.000000	8550.000000	0
º¸½º¸®Á¨	221	2000441	1	468328	7850.000000	7200.000000	0
º¸½ºÁ×À½	221	2000441	1	472150	7566.263672	6929.161133	0
º¸½º¸®Á¨	223	2000453	1	490557	8700.000000	7350.000000	0
º¸½ºÁ×À½	223	2000453	1	493776	8463.793945	7146.374023	0
º¸½º¸®Á¨	223	2000465	1	504036	7550.000000	7450.000000	0
º¸½º¸®Á¨	223	2000477	1	505444	8500.000000	7550.000000	0
º¸½º¸®Á¨	223	2000489	1	507355	8150.000000	7550.000000	0
º¸½ºÁ×À½	223	2000465	1	511177	6899.624512	6799.624512	0
º¸½ºÁ×À½	223	2000489	1	513390	7648.645996	7123.318848	0
º¸½ºÁ×À½	223	2000477	1	529585	7981.235352	7215.607422	0
º¸½º¸®Á¨	239	2000507	1	577262	7850.000000	7500.000000	0
º¸½ºÁ×À½	239	2000507	1	587422	7188.150391	6743.124512	0
º¸½º¸®Á¨	231	2000523	1	652199	6450.000000	7350.000000	0
º¸½ºÁ×À½	231	2000523	1	671511	6382.855469	7257.238281	0
º¸½º¼Ò¸ê	237	0	1	1036839	5900.000000	6050.000000	100000
