º¸½º¸®Á¨	203	2000635	2	1801494	30000.000000	8000.000000	0
º¸½º¸®Á¨	203	2000636	3	2160586	38500.000000	36500.000000	0
º¸½º¸®Á¨	203	2000634	1	2220937	30000.000000	8000.000000	0
º¸½º¸®Á¨	203	2000639	2	2281289	38500.000000	36500.000000	0
º¸½º¸®Á¨	203	2000638	1	2761084	10000.000000	15000.000000	0
º¸½º¸®Á¨	203	2000640	3	3240880	38500.000000	36500.000000	0
º¸½º¼Ò¸ê	203	2000635	2	3601681	30000.000000	8000.000000	20970
º¸½º¼Ò¸ê	203	2000636	3	3960773	38500.000000	36500.000000	20970
º¸½º¼Ò¸ê	203	2000634	1	4021125	30000.000000	8000.000000	20970
º¸½º¼Ò¸ê	203	2000639	2	4081476	38500.000000	36500.000000	20970
º¸½º¼Ò¸ê	203	2000638	1	4561271	10000.000000	15000.000000	20970
º¸½º¼Ò¸ê	203	2000640	3	5041066	38500.000000	36500.000000	20970
º¸½º¸®Á¨	203	2000639	2	6723166	28000.000000	23000.000000	0
º¸½º¸®Á¨	203	2000636	3	6961555	28000.000000	23000.000000	0
º¸½º¸®Á¨	203	2000635	2	7021906	28000.000000	23000.000000	0
º¸½º¸®Á¨	203	2000634	1	7082258	10000.000000	15000.000000	0
º¸½º¸®Á¨	203	2000638	1	7622405	28000.000000	23000.000000	0
º¸½º¸®Á¨	203	2000640	3	7622405	38500.000000	36500.000000	0
º¸½º¼Ò¸ê	203	2000639	2	8523353	28000.000000	23000.000000	20970
º¸½º¼Ò¸ê	203	2000636	3	8761742	28000.000000	23000.000000	20970
º¸½º¼Ò¸ê	203	2000635	2	8822096	28000.000000	23000.000000	20970
º¸½º¼Ò¸ê	203	2000634	1	8882447	10000.000000	15000.000000	20970
º¸½º¼Ò¸ê	203	2000638	1	9422594	28000.000000	23000.000000	20970
º¸½º¼Ò¸ê	203	2000640	3	9422594	38500.000000	36500.000000	20970
º¸½º¸®Á¨	203	2000634	1	10802937	38500.000000	36500.000000	0
º¸½º¸®Á¨	203	2000639	2	10923640	38500.000000	36500.000000	0
º¸½º¸®Á¨	203	2000636	3	11104695	38500.000000	36500.000000	0
º¸½º¸®Á¨	203	2000640	3	11584490	10000.000000	15000.000000	0
º¸½º¸®Á¨	203	2000638	1	12003935	10000.000000	15000.000000	0
º¸½º¸®Á¨	203	2000635	2	12184990	10000.000000	15000.000000	0
º¸½º¼Ò¸ê	203	2000634	1	12603127	38500.000000	36500.000000	20970
º¸½º¼Ò¸ê	203	2000639	2	12723830	38500.000000	36500.000000	20970
º¸½º¼Ò¸ê	203	2000636	3	12904885	38500.000000	36500.000000	20970
º¸½º¼Ò¸ê	203	2000640	3	13384680	10000.000000	15000.000000	20970
º¸½º¼Ò¸ê	203	2000638	1	13804123	10000.000000	15000.000000	20970
º¸½º¼Ò¸ê	203	2000635	2	13985178	10000.000000	15000.000000	20970
º¸½º¸®Á¨	203	2000634	1	15124113	28000.000000	23000.000000	0
º¸½º¸®Á¨	203	2000636	3	15305168	10000.000000	15000.000000	0
º¸½º¸®Á¨	203	2000639	2	15845316	10000.000000	15000.000000	0
º¸½º¸®Á¨	203	2000635	2	15966019	30000.000000	8000.000000	0
º¸½º¸®Á¨	203	2000638	1	16086722	30000.000000	8000.000000	0
º¸½º¸®Á¨	203	2000640	3	16804906	30000.000000	8000.000000	0
º¸½º¸®Á¨	203	2000639	2	2042900	30000.000000	8000.000000	0
º¸½º¸®Á¨	203	2000634	1	2160586	10000.000000	15000.000000	0
º¸½º¸®Á¨	203	2000636	3	2220938	38500.000000	36500.000000	0
º¸½º¸®Á¨	203	2000640	3	2761085	28000.000000	23000.000000	0
º¸½º¸®Á¨	203	2000635	2	3002491	38500.000000	36500.000000	0
º¸½º¸®Á¨	203	2000638	1	3542638	38500.000000	36500.000000	0
º¸½º¼Ò¸ê	203	2000639	2	3843088	30000.000000	8000.000000	20970
º¸½º¼Ò¸ê	203	2000634	1	3960774	10000.000000	15000.000000	20970
º¸½º¼Ò¸ê	203	2000636	3	4021125	38500.000000	36500.000000	20970
º¸½º¼Ò¸ê	203	2000640	3	4561272	28000.000000	23000.000000	20970
